forget_cluster,retain_cluster,forget_radius_p95,frac_within_radius,mean_min_dist
triplet_052,triplet_031,1.4794650077819824,1.0,1.209389090538025
triplet_052,triplet_032,1.4794650077819824,1.0,1.2076209783554077
triplet_052,triplet_033,1.4794650077819824,1.0,1.2083557844161987
triplet_052,triplet_034,1.4794650077819824,1.0,1.2082264423370361
triplet_052,triplet_035,1.4794650077819824,1.0,1.2118217945098877
triplet_052,triplet_036,1.4794650077819824,1.0,1.2092970609664917
triplet_052,triplet_037,1.4794650077819824,1.0,1.2141770124435425
triplet_052,triplet_038,1.4794650077819824,1.0,1.2002918720245361
triplet_052,triplet_039,1.4794650077819824,1.0,1.2106919288635254
triplet_052,triplet_040,1.4794650077819824,1.0,1.2084115743637085
triplet_052,triplet_041,1.4794650077819824,1.0,1.2988148927688599
triplet_052,triplet_042,1.4794650077819824,1.0,1.2953810691833496
triplet_052,triplet_043,1.4794650077819824,1.0,1.2975956201553345
triplet_052,triplet_044,1.4794650077819824,1.0,1.297507643699646
triplet_052,triplet_045,1.4794650077819824,1.0,1.2935528755187988
triplet_052,triplet_046,1.4794650077819824,1.0,1.2979964017868042
triplet_052,triplet_047,1.4794650077819824,1.0,1.300442099571228
triplet_052,triplet_048,1.4794650077819824,1.0,1.300797939300537
triplet_052,triplet_049,1.4794650077819824,1.0,1.2997140884399414
triplet_052,triplet_050,1.4794650077819824,1.0,1.2957683801651
triplet_052,triplet_051,1.4794650077819824,1.0,0.8701267838478088
triplet_052,triplet_053,1.4794650077819824,1.0,0.8646218776702881
triplet_052,triplet_054,1.4794650077819824,1.0,0.8614012002944946
triplet_052,triplet_055,1.4794650077819824,1.0,0.8135751485824585
triplet_052,triplet_056,1.4794650077819824,1.0,0.8445441722869873
triplet_052,triplet_057,1.4794650077819824,1.0,0.8830969929695129
triplet_052,triplet_058,1.4794650077819824,1.0,0.8739084005355835
triplet_052,triplet_059,1.4794650077819824,1.0,0.8705381155014038
triplet_052,triplet_060,1.4794650077819824,1.0,0.8491258025169373
triplet_052,triplet_061,1.4794650077819824,1.0,1.26996910572052
triplet_052,triplet_062,1.4794650077819824,1.0,1.2749192714691162
triplet_052,triplet_063,1.4794650077819824,1.0,1.2724002599716187
