forget_cluster,geo_L1_forget,n_L1_forget,geo_L2_locality,n_L2_locality,geo_L3_spillover,n_L3_spillover
triplet_030,1.851330612473539,50,1.3172320590555215,100,1.2116618551097997,4950
triplet_031,2.2004211262241884,50,1.421414207170333,100,1.2284655710191024,4950
triplet_032,2.241350049770582,50,1.4081760243120764,100,1.2054436894092502,4950
triplet_033,2.2610560131833832,50,1.4174502469165993,100,1.1938818907099067,4950
triplet_034,1.7818392397577043,50,1.3057612510591192,100,1.17994423397232,4950
triplet_035,2.2631870592270227,50,1.370200119869727,100,1.1962280877424507,4950
triplet_036,1.7840135418373797,50,1.3090710987892804,100,1.1766130949619236,4950
triplet_037,1.8728446697356904,50,1.3283501396308484,100,1.192350612139786,4950
triplet_038,2.2415659520711215,50,1.3989244754691335,100,1.2094698553038499,4950
triplet_039,2.2361150268123433,50,1.4226259456423034,100,1.2190903654502023,4950
triplet_040,2.1476947417583294,50,1.3551396832303262,100,1.2062242701490875,4950
triplet_041,2.1229220705882503,50,1.3885087073241988,100,1.2194264969290902,4950
triplet_042,2.2564312742545325,50,1.4962752875709098,100,1.259240227514498,4950
triplet_043,2.0958958166707675,50,1.4134658822966182,100,1.2248975332161252,4950
triplet_044,1.9289973689029987,50,1.4182848583036005,100,1.2216555023847817,4950
triplet_045,1.6545791069880966,50,1.317055539250186,100,1.171272520841251,4950
triplet_046,1.69375900130285,50,1.2754128242766114,100,1.160296605298485,4950
triplet_047,1.7494316096852975,50,1.3051403510281046,100,1.1765431237785084,4950
triplet_048,1.9141317963309639,50,1.3945536806884475,100,1.2251147971463574,4950
triplet_049,2.0558627096763478,50,1.4201244659212886,100,1.219043024622545,4950
triplet_050,1.9629222320335262,50,1.3633139377501384,100,1.2149875158836272,4950
triplet_051,1.858116822300236,50,1.2370376444500966,100,1.1633966490583698,4950
triplet_052,1.6605309244360142,50,1.1546552767895226,100,1.1366654513276007,4950
triplet_053,1.8274370217005458,50,1.2061659947231196,100,1.1602918891714022,4950
triplet_054,1.8413394267949565,50,1.1945627271735788,100,1.159783816178609,4950
triplet_055,1.87102599935023,50,1.216719775444458,100,1.1798373206692934,4950
triplet_056,1.7894071681790222,50,1.1841815811453729,100,1.1526989747863283,4950
triplet_057,1.6822865172394132,50,1.1637923143012776,100,1.141985566106974,4950
triplet_058,1.6734684095630925,50,1.1801656206124946,100,1.140096786708151,4950
triplet_059,1.834137598715306,50,1.2489988884919334,100,1.194550911975457,4950
triplet_060,1.8185355220795933,50,1.2486231859191177,100,1.1838387799577468,4950
triplet_061,2.0338651040358413,50,1.2166332223185923,100,1.1953500302585203,4950
triplet_062,2.1007696829846165,50,1.19505637570534,100,1.1812211343131558,4950
triplet_063,2.159739893519201,50,1.2059497451907737,100,1.1814814995661858,4950
triplet_064,1.742506648540014,50,1.1776255803823683,100,1.1646674628821463,4950
triplet_065,1.9971407501936684,50,1.1972263635484457,100,1.1874679677120359,4950
triplet_066,2.004626912315618,50,1.2015748777153417,100,1.1831110948128838,4950
triplet_067,1.9989801875178346,50,1.2033300834829705,100,1.1842167449923926,4950
triplet_068,2.069474414239054,50,1.2424956616460228,100,1.2036915207270922,4950
triplet_069,2.053720424846541,50,1.23486360975389,100,1.2177209905088513,4950
triplet_070,2.0578605769872858,50,1.21430443291801,100,1.1938869530045877,4950
triplet_071,2.1648653601837498,50,1.6227920493758228,100,1.2478005303571702,4950
triplet_072,2.30789143385151,50,1.7281973327447546,100,1.2629547710265616,4950
triplet_073,2.439050563746909,50,1.731309099237829,100,1.2616482872534447,4950
triplet_074,1.849768620849101,50,1.4613235511992948,100,1.198744176793657,4950
triplet_075,2.2010235835806755,50,1.6688510703696524,100,1.2590185504859286,4950
triplet_076,1.821382271726504,50,1.491093192354883,100,1.201146018303128,4950
triplet_077,2.0985477342873136,50,1.567778702674884,100,1.221975884079031,4950
triplet_078,1.9848623814947328,50,1.4737362107031033,100,1.208661746392158,4950
triplet_079,2.1010343057788607,50,1.5757228779948067,100,1.2079616375865276,4950
triplet_080,2.1342038444971556,50,1.5666842407077637,100,1.2328388843316338,4950
triplet_081,1.8393911457979408,50,1.239186390162618,100,1.1935030481326643,4950
triplet_082,1.6420764178511693,50,1.2002726864024305,100,1.1428112318729202,4950
triplet_083,1.7679040121200127,50,1.2414134953202092,100,1.176435613719728,4950
triplet_084,1.9097785481683287,50,1.2565760865205846,100,1.1929819978426381,4950
triplet_085,1.6752984925592098,50,1.2026774474973576,100,1.1514352399539123,4950
triplet_086,2.2887068563622757,50,1.2929299580569238,100,1.2294686547222546,4950
triplet_087,1.7666253443975721,50,1.2519704083476164,100,1.17992050962232,4950
