model_triplet,eval_triplet,sample_index,same_cluster,cos_sim_to_centroid,cos_sim_to_nearest,cos_sim_top3_mean,cos_sim_top5_mean,cos_sim_mean,cos_sim_std,eucl_to_centroid,eucl_to_nearest,proj_on_centroid,angle_to_centroid_deg,forget_emb_variance_mean,forget_mean_pairwise_similarity,forget_centroid_norm,forget_spread,target_emb_norm,base_ppl,unlearn_ppl,log_ppl_ratio
triplet_001,triplet_011,0,0,0.2781602442264557,0.312180757522583,0.2878037989139557,0.2813495993614197,0.15894903242588043,0.09537562727928162,1.0043076276779175,1.1728761196136475,0.2781602740287781,73.84956702329184,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,9.7,11.24,0.14735295895620795
triplet_001,triplet_011,1,0,0.31524503231048584,0.3412831127643585,0.32784906029701233,0.3214508891105652,0.18014036118984222,0.10294244438409805,0.9829807877540588,1.1477952003479004,0.31524503231048584,71.62439319990986,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,13.14,14.53,0.10055446452572696
triplet_001,triplet_011,2,0,0.2852203845977783,0.3225667178630829,0.30467507243156433,0.28437140583992004,0.16298337280750275,0.08549497276544571,1.0002825260162354,1.1639872789382935,0.2852203845977783,73.42797752037013,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,0.9999999403953552,10.3,11.24,0.08733494922995486
triplet_001,triplet_011,3,0,0.1218506321310997,0.23553237318992615,0.1953699141740799,0.1854875385761261,0.06962906569242477,0.07428736984729767,1.0896209478378296,1.2365012168884277,0.1218506395816803,83.00108012689363,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,23.79,25.41,0.06587747301720655
triplet_001,triplet_011,4,0,0.191744863986969,0.32067686319351196,0.28803959488868713,0.26471227407455444,0.10956870764493942,0.08305070549249649,1.052328109741211,1.1656098365783691,0.191744863986969,78.94536999378194,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,14.81,15.15,0.022697903675670632
triplet_001,triplet_011,5,0,0.20029203593730927,0.3593619167804718,0.31717243790626526,0.30093640089035034,0.11445281654596329,0.11164045333862305,1.0476765632629395,1.131934642791748,0.20029202103614807,78.44596298593423,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,13.82,14.93,0.07725579321157519
triplet_001,triplet_011,6,0,0.07486297935247421,0.22930274903774261,0.2018824815750122,0.18360090255737305,0.04277893155813217,0.07705091685056686,1.113990068435669,1.2415289878845215,0.07486297190189362,85.7066505331789,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,0.9999999403953552,14.89,15.52,0.04143966805915492
triplet_001,triplet_011,7,0,0.1997837871313095,0.30438801646232605,0.28594982624053955,0.2731826901435852,0.1141623854637146,0.09535662084817886,1.047953724861145,1.1795016527175903,0.19978377223014832,78.4756842186978,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,10.06,10.17,0.01087504538887541
triplet_001,triplet_011,8,0,0.1969270557165146,0.3017348647117615,0.2838272750377655,0.26649826765060425,0.11252996325492859,0.07724529504776001,1.0495103597640991,1.1817487478256226,0.1969270557165146,78.64268113943818,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,6.84,7.43,0.08273812709520871
triplet_001,triplet_011,9,0,0.12862993776798248,0.2680243253707886,0.24600523710250854,0.22249622642993927,0.07350295782089233,0.07348708808422089,1.0860599279403687,1.209938645362854,0.12862995266914368,82.609571164384,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,4.81,4.98,0.034732806918891905
