forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_011,test,49,L3_spillover,0.020379162336652264
triplet_001,triplet_021,test,0,L3_spillover,0.11808574490646255
triplet_001,triplet_021,test,1,L3_spillover,0.0060716640685497736
triplet_001,triplet_021,test,2,L3_spillover,0.25686049241118064
triplet_001,triplet_021,test,3,L3_spillover,0.049927173956507254
triplet_001,triplet_021,test,4,L3_spillover,0.10775286129644625
triplet_001,triplet_021,test,5,L3_spillover,0.14511900779691045
triplet_001,triplet_021,test,6,L3_spillover,0.07948106767000551
triplet_001,triplet_021,test,7,L3_spillover,0.04005541725005958
triplet_001,triplet_021,test,8,L3_spillover,0.036567145418419295
triplet_001,triplet_021,test,9,L3_spillover,0.18333730091379005
triplet_001,triplet_021,test,10,L3_spillover,0.109511022383053
triplet_001,triplet_021,test,11,L3_spillover,0.17524850879189424
triplet_001,triplet_021,test,12,L3_spillover,0.10362590984561815
triplet_001,triplet_021,test,13,L3_spillover,0.21517538166503292
triplet_001,triplet_021,test,14,L3_spillover,0.1474295791541809
triplet_001,triplet_021,test,15,L3_spillover,0.10996772056639144
triplet_001,triplet_021,test,16,L3_spillover,0.0808636134522946
triplet_001,triplet_021,test,17,L3_spillover,0.0451040861947919
triplet_001,triplet_021,test,18,L3_spillover,0.1148213241620552
triplet_001,triplet_021,test,19,L3_spillover,0.278066613752339
triplet_001,triplet_021,test,20,L3_spillover,0.0535218849310693
triplet_001,triplet_021,test,21,L3_spillover,0.041945860737931044
triplet_001,triplet_021,test,22,L3_spillover,0.04298182257368503
triplet_001,triplet_021,test,23,L3_spillover,0.04617350327826039
triplet_001,triplet_021,test,24,L3_spillover,0.05898929847570425
triplet_001,triplet_021,test,25,L3_spillover,0.028325329048245175
triplet_001,triplet_021,test,26,L3_spillover,0.09862758932804057
triplet_001,triplet_021,test,27,L3_spillover,0.23315462259318676
triplet_001,triplet_021,test,28,L3_spillover,0.03251169738662715
triplet_001,triplet_021,test,29,L3_spillover,0.028086698339599876
triplet_001,triplet_021,test,30,L3_spillover,0.05366312891130631
triplet_001,triplet_021,test,31,L3_spillover,0.028142560788245754
triplet_001,triplet_021,test,32,L3_spillover,0.022702450618306513
triplet_001,triplet_021,test,33,L3_spillover,0.10133977169490914
triplet_001,triplet_021,test,34,L3_spillover,0.061567869803364296
triplet_001,triplet_021,test,35,L3_spillover,0.0323914957912355
triplet_001,triplet_021,test,36,L3_spillover,0.08211395944964854
triplet_001,triplet_021,test,37,L3_spillover,0.029808466297825936
triplet_001,triplet_021,test,38,L3_spillover,0.0627501668588668
triplet_001,triplet_021,test,39,L3_spillover,0.15277079827810328
triplet_001,triplet_021,test,40,L3_spillover,0.062365579782802015
triplet_001,triplet_021,test,41,L3_spillover,0.020168750883620846
triplet_001,triplet_021,test,42,L3_spillover,0.07257681276714906
triplet_001,triplet_021,test,43,L3_spillover,0.029377877716731313
triplet_001,triplet_021,test,44,L3_spillover,0.028987536873252406
triplet_001,triplet_021,test,45,L3_spillover,0.10622221325530762
